SGB	Number of genomes	Average distance	Max distance	Min distance	Max average distance of rows	Min average distance of rows	Number of outliers
100001	3	0.008585313333333332	0.0105347	0.00562857	0.010063685	0.00761062	0
100008	4	0.011274718333333334	0.0202137	0.00222188	0.015335933333333334	0.00823468	0
100011	2	0.00875155	0.00875155	0.00875155	0.00875155	0.00875155	0
100019	2	0.0376732	0.0376732	0.0376732	0.0376732	0.0376732	0
10001	2	0.0282337	0.0282337	0.0282337	0.0282337	0.0282337	0
100025	2	0.00157978	0.00157978	0.00157978	0.00157978	0.00157978	0
10002	15	0.027162846165714277	0.0542958	2.38274e-05	0.05014339285714286	0.019182756428571427	1
100031	2	0.0249925	0.0249925	0.0249925	0.0249925	0.0249925	0
100034	2	0.0144049	0.0144049	0.0144049	0.0144049	0.0144049	0
100036	2	0.0139135	0.0139135	0.0139135	0.0139135	0.0139135	0
10003	20	0.010054749894736838	0.0136397	0.00052522	0.011753780000000002	0.00867549052631579	0
100040	2	0.00844563	0.00844563	0.00844563	0.00844563	0.00844563	0
100041	3	0.01083291	0.012982	0.00925753	0.0116206	0.009758365	0
10004	7	0.009189764142857142	0.015315	0.000307717	0.014831033333333332	0.007653364499999999	0
100054	2	0.022813	0.022813	0.022813	0.022813	0.022813	0
10005	23	0.013626490316205525	0.0362143	0.00371142	0.03423663181818182	0.009711519545454546	0
100061	2	0.0352955	0.0352955	0.0352955	0.0352955	0.0352955	0
100063	3	0.026091766666666665	0.032218	0.0162638	0.03100575	0.023028649999999998	0
100064	3	0.026449753333333336	0.0389828	0.00142306	0.0389631	0.02018323	0
10006	34	0.01452109903743313	0.0284148	0.0010351	0.023732519696969694	0.011307871818181818	0
100078	6	0.02613064666666667	0.0391011	0.0155673	0.03369108	0.0224842	0
100081	2	0.0476018	0.0476018	0.0476018	0.0476018	0.0476018	0
100085	2	0.0105645	0.0105645	0.0105645	0.0105645	0.0105645	0
100087	6	0.007917054	0.0115941	0.00304899	0.010460756	0.006224124	0
10008	25	0.009364923133333338	0.0156106	0.00340187	0.013167054166666666	0.00760738	0
100092	2	0.0387735	0.0387735	0.0387735	0.0387735	0.0387735	0
100099	2	0.00516121	0.00516121	0.00516121	0.00516121	0.00516121	0
10009	6	0.012061725766666666	0.0243539	5.48565e-05	0.02037476	0.009218750000000001	0
100100	3	0.014383033333333331	0.0173882	0.0101124	0.01651835	0.01288045	0
100108	2	0.0443105	0.0443105	0.0443105	0.0443105	0.0443105	0
10010	49	0.008640960008503423	0.0194671	0.00119072	0.015781501875000003	0.007478648124999998	0
100110	3	0.016180503333333335	0.0233987	0.00426741	0.02213705	0.012571404999999999	0
100111	2	0.0283513	0.0283513	0.0283513	0.0283513	0.0283513	0
10011	5	0.014120932	0.0198407	0.00598962	0.017048725	0.012789354999999999	0
100135	2	0.0220268	0.0220268	0.0220268	0.0220268	0.0220268	0
100136	4	0.02398294333333333	0.0373856	0.00661446	0.0340819	0.018367953333333336	0
100138	2	0.00601665	0.00601665	0.00601665	0.00601665	0.00601665	0
